timestamp,queue,temperature,vibration,speed,current,failure
2026-03-30 17:27:19.056037,26,64.94,7.49,60.94,9.45,0
2026-03-30 17:27:29.056037,28,65.72,9.81,56.04,16.69,1
2026-03-30 17:27:39.056037,30,66.09,7.11,51.6,14.82,0
2026-03-30 17:27:49.056037,32,63.57,8.99,49.22,18.45,1
2026-03-30 17:27:59.056037,35,77.9,6.97,44.31,11.47,1
2026-03-30 17:28:09.056037,39,59.3,6.72,49.68,13.36,0
2026-03-30 17:28:19.056037,37,72.89,4.55,48.9,14.82,0
2026-03-30 17:28:29.056037,39,72.03,8.78,50.49,17.02,1
2026-03-30 17:28:39.056037,37,67.58,5.71,49.0,15.05,0
2026-03-30 17:28:49.056037,36,67.22,10.66,47.27,16.38,1
2026-03-30 17:28:59.056037,39,70.61,7.21,51.97,13.52,0
2026-03-30 17:29:09.056037,41,70.58,8.96,59.31,13.56,0
2026-03-30 17:29:19.056037,43,68.39,6.12,49.39,22.09,0
2026-03-30 17:29:29.056037,46,67.44,8.89,48.46,13.79,1
2026-03-30 17:29:39.056037,48,71.37,8.98,46.18,12.72,1
2026-03-30 17:29:49.056037,47,63.2,9.85,51.49,17.12,1
2026-03-30 17:29:59.056037,48,73.42,9.79,49.28,11.12,0
2026-03-30 17:30:09.056037,52,71.05,7.41,57.63,10.84,0
2026-03-30 17:30:19.056037,53,63.35,9.24,59.27,15.52,0
2026-03-30 17:30:29.056037,54,69.97,9.12,45.46,16.57,1
2026-03-30 17:30:39.056037,56,70.7,7.3,59.81,13.51,0
2026-03-30 17:30:49.056037,59,63.6,7.08,50.22,15.97,0
2026-03-30 17:30:59.056037,61,64.4,9.7,46.45,17.43,1
2026-03-30 17:31:09.056037,62,74.74,6.95,46.03,14.47,1
2026-03-30 17:31:19.056037,63,70.39,11.47,58.23,15.94,0
2026-03-30 17:31:29.056037,61,69.38,6.14,59.78,16.43,0
2026-03-30 17:31:39.056037,66,65.44,9.34,39.01,11.81,1
2026-03-30 17:31:49.056037,67,68.13,9.11,49.01,17.62,1
2026-03-30 17:31:59.056037,67,66.19,4.14,46.54,10.63,0
2026-03-30 17:32:09.056037,71,65.77,9.16,52.62,17.57,1
2026-03-30 17:32:19.056037,72,73.8,7.75,52.4,10.56,0
2026-03-30 17:32:29.056037,74,65.07,10.06,48.4,11.72,1
2026-03-30 17:32:39.056037,73,75.56,2.78,47.05,13.0,1
2026-03-30 17:32:49.056037,74,78.03,7.37,48.6,16.85,1
2026-03-30 17:32:59.056037,77,61.15,6.49,51.83,16.44,0
2026-03-30 17:33:09.056037,81,74.99,3.92,47.29,12.24,1
2026-03-30 17:33:19.056037,84,74.15,6.48,54.46,19.52,1
2026-03-30 17:33:29.056037,84,64.32,7.7,50.11,13.7,0
2026-03-30 17:33:39.056037,89,70.1,8.51,51.0,12.02,0
2026-03-30 17:33:49.056037,89,76.04,7.76,47.11,16.95,1
2026-03-30 17:33:59.056037,93,74.78,9.64,51.14,14.44,1
2026-03-30 17:34:09.056037,95,74.87,8.4,61.23,18.29,1
2026-03-30 17:34:19.056037,96,71.01,7.45,44.54,15.01,0
2026-03-30 17:34:29.056037,97,66.43,13.24,50.2,16.72,1
2026-03-30 17:34:39.056037,98,73.43,6.89,44.81,7.81,0
2026-03-30 17:34:49.056037,102,78.47,6.41,53.9,14.95,0
2026-03-30 17:34:59.056037,100,64.5,6.07,53.14,15.82,0
2026-03-30 17:35:09.056037,99,66.12,5.91,48.51,9.61,0
2026-03-30 17:35:19.056037,100,70.7,10.69,43.17,16.88,1
2026-03-30 17:35:29.056037,101,73.22,10.05,48.66,13.97,1
2026-03-30 17:35:39.056037,102,64.07,7.37,42.57,14.68,0
2026-03-30 17:35:49.056037,103,70.21,5.36,51.46,13.64,0
2026-03-30 17:35:59.056037,106,74.19,6.39,46.56,10.51,1
2026-03-30 17:36:09.056037,107,73.92,6.22,56.08,17.44,0
2026-03-30 17:36:19.056037,109,83.48,6.67,54.63,14.19,0
2026-03-30 17:36:29.056037,109,68.44,11.3,41.57,16.81,1
2026-03-30 17:36:39.056037,110,70.9,7.34,53.4,11.13,0
2026-03-30 17:36:49.056037,111,63.78,9.05,51.67,9.87,0
2026-03-30 17:36:59.056037,113,69.37,2.98,48.42,11.2,0
2026-03-30 17:37:09.056037,116,70.89,9.37,44.12,13.55,1
2026-03-30 17:37:19.056037,120,75.8,10.09,52.84,16.52,1
2026-03-30 17:37:29.056037,125,63.52,7.71,58.07,16.22,0
2026-03-30 17:37:39.056037,129,63.15,7.64,48.92,13.47,0
2026-03-30 17:37:49.056037,127,66.36,6.58,51.3,18.15,0
2026-03-30 17:37:59.056037,126,75.34,4.36,48.83,18.14,1
2026-03-30 17:38:09.056037,131,72.64,9.39,50.04,20.08,1
2026-03-30 17:38:19.056037,130,78.54,7.05,44.64,21.09,1
2026-03-30 17:38:29.056037,128,62.45,6.44,48.75,3.4,0
2026-03-30 17:38:39.056037,131,66.49,7.82,52.02,16.45,0
2026-03-30 17:38:49.056037,132,71.05,6.18,48.19,16.29,1
2026-03-30 17:38:59.056037,133,77.61,11.44,41.3,21.83,1
2026-03-30 17:39:09.056037,134,68.25,5.22,55.66,19.33,0
2026-03-30 17:39:19.056037,136,69.85,7.65,59.98,9.06,0
2026-03-30 17:39:29.056037,133,67.25,5.91,54.68,15.56,0
2026-03-30 17:39:39.056037,133,67.38,6.54,51.59,13.0,0
2026-03-30 17:39:49.056037,132,69.17,7.9,55.48,14.25,0
2026-03-30 17:39:59.056037,132,74.09,8.44,56.79,18.98,1
2026-03-30 17:40:09.056037,130,79.1,7.36,49.28,8.93,0
2026-03-30 17:40:19.056037,133,66.69,5.86,53.07,17.32,0
2026-03-30 17:40:29.056037,132,74.85,7.01,48.77,17.5,1
2026-03-30 17:40:39.056037,132,71.74,4.45,50.93,15.53,0
2026-03-30 17:40:49.056037,134,70.75,7.37,50.84,17.88,0
2026-03-30 17:40:59.056037,133,66.85,4.8,52.89,10.08,0
2026-03-30 17:41:09.056037,138,69.15,5.08,50.35,18.57,0
2026-03-30 17:41:19.056037,139,73.83,6.04,53.57,12.1,0
2026-03-30 17:41:29.056037,136,67.13,7.15,49.87,11.67,0
2026-03-30 17:41:39.056037,139,78.53,6.57,56.09,14.94,0
2026-03-30 17:41:49.056037,139,67.69,6.15,63.63,15.87,0
2026-03-30 17:41:59.056037,140,70.89,7.04,48.11,15.11,0
2026-03-30 17:42:09.056037,143,71.2,8.7,41.68,17.2,1
2026-03-30 17:42:19.056037,143,66.65,7.26,52.69,18.21,0
2026-03-30 17:42:29.056037,143,70.18,9.37,55.57,18.39,1
2026-03-30 17:42:39.056037,146,63.79,10.97,53.89,13.61,0
2026-03-30 17:42:49.056037,146,61.83,7.68,48.5,12.92,0
2026-03-30 17:42:59.056037,149,68.78,6.83,47.24,12.89,0
2026-03-30 17:43:09.056037,149,61.23,10.81,54.79,14.89,0
2026-03-30 17:43:19.056037,148,75.39,7.05,55.71,18.2,1
2026-03-30 17:43:29.056037,149,66.77,6.72,51.98,17.11,0
2026-03-30 17:43:39.056037,152,76.48,10.81,54.13,19.26,1
2026-03-30 17:43:49.056037,153,68.69,7.69,49.57,17.37,0
2026-03-30 17:43:59.056037,153,68.23,6.4,44.43,13.62,0
2026-03-30 17:44:09.056037,156,77.78,7.82,48.04,12.77,1
2026-03-30 17:44:19.056037,157,70.51,5.79,43.71,11.04,0
2026-03-30 17:44:29.056037,157,72.05,8.09,52.04,13.08,0
2026-03-30 17:44:39.056037,154,74.67,11.96,51.88,17.05,1
2026-03-30 17:44:49.056037,153,69.36,7.29,47.34,14.08,0
2026-03-30 17:44:59.056037,154,79.41,9.28,61.52,17.47,1
2026-03-30 17:45:09.056037,157,76.41,5.61,56.23,15.19,0
2026-03-30 17:45:19.056037,156,59.92,7.91,54.88,16.63,0
2026-03-30 17:45:29.056037,153,64.88,6.31,54.37,22.57,0
2026-03-30 17:45:39.056037,152,69.8,7.52,50.79,13.43,0
2026-03-30 17:45:49.056037,155,72.54,9.9,44.9,19.48,1
2026-03-30 17:45:59.056037,153,69.17,5.63,51.82,8.09,0
2026-03-30 17:46:09.056037,153,74.28,7.83,53.03,11.59,0
2026-03-30 17:46:19.056037,153,80.11,7.27,50.79,17.59,1
2026-03-30 17:46:29.056037,153,67.68,8.32,48.85,13.18,0
2026-03-30 17:46:39.056037,156,79.38,7.41,47.27,11.57,1
2026-03-30 17:46:49.056037,154,71.54,4.2,50.64,15.1,0
2026-03-30 17:46:59.056037,158,64.85,5.78,51.01,18.88,0
2026-03-30 17:47:09.056037,159,73.3,8.77,51.87,17.27,1
2026-03-30 17:47:19.056037,160,69.17,9.61,47.2,8.36,1
2026-03-30 17:47:29.056037,164,68.96,14.29,46.53,13.16,1
2026-03-30 17:47:39.056037,166,70.9,8.55,52.83,7.54,0
2026-03-30 17:47:49.056037,168,72.42,8.63,51.57,13.51,0
2026-03-30 17:47:59.056037,172,73.08,6.36,52.73,14.49,0
2026-03-30 17:48:09.056037,174,63.05,9.83,45.43,14.6,1
2026-03-30 17:48:19.056037,176,72.76,8.87,38.36,12.32,1
2026-03-30 17:48:29.056037,177,63.64,5.56,56.24,15.66,0
2026-03-30 17:48:39.056037,176,70.62,9.65,48.76,15.19,1
2026-03-30 17:48:49.056037,173,77.83,9.8,54.29,12.62,1
2026-03-30 17:48:59.056037,174,74.06,9.04,42.47,15.89,1
2026-03-30 17:49:09.056037,172,58.12,7.79,51.39,14.03,0
2026-03-30 17:49:19.056037,175,71.29,7.62,45.89,15.17,0
2026-03-30 17:49:29.056037,179,78.07,3.98,48.16,12.59,1
2026-03-30 17:49:39.056037,182,63.96,6.74,49.94,14.35,0
2026-03-30 17:49:49.056037,187,64.04,5.69,52.26,12.22,0
2026-03-30 17:49:59.056037,191,66.92,7.87,44.08,13.68,0
2026-03-30 17:50:09.056037,193,67.42,8.18,46.25,19.72,1
2026-03-30 17:50:19.056037,194,71.41,8.06,54.72,16.67,0
2026-03-30 17:50:29.056037,194,67.38,7.88,55.15,17.17,0
2026-03-30 17:50:39.056037,193,66.82,8.33,37.33,21.68,1
2026-03-30 17:50:49.056037,195,70.75,8.26,47.93,16.36,1
2026-03-30 17:50:59.056037,196,71.1,8.41,50.76,17.95,0
2026-03-30 17:51:09.056037,193,64.5,10.28,53.96,11.6,0
2026-03-30 17:51:19.056037,194,72.0,9.03,41.08,17.48,1
2026-03-30 17:51:29.056037,195,70.63,5.67,56.98,16.53,0
2026-03-30 17:51:39.056037,193,65.19,7.33,46.39,12.02,0
2026-03-30 17:51:49.056037,194,80.95,7.2,55.86,13.69,0
2026-03-30 17:51:59.056037,195,72.34,8.06,52.61,15.31,0
2026-03-30 17:52:09.056037,197,68.42,6.82,51.36,11.93,0
2026-03-30 17:52:19.056037,195,66.48,7.04,54.94,12.98,0
2026-03-30 17:52:29.056037,195,76.97,7.72,54.06,17.85,1
2026-03-30 17:52:39.056037,195,68.37,6.9,44.04,15.39,0
2026-03-30 17:52:49.056037,194,70.83,8.59,44.36,13.88,1
2026-03-30 17:52:59.056037,195,83.95,5.78,48.29,12.94,1
2026-03-30 17:53:09.056037,195,72.5,7.78,43.66,10.97,0
2026-03-30 17:53:19.056037,197,65.22,11.24,44.16,17.33,1
2026-03-30 17:53:29.056037,200,62.35,7.56,59.0,14.36,0
2026-03-30 17:53:39.056037,200,68.62,3.99,49.71,16.23,0
2026-03-30 17:53:49.056037,202,73.13,10.61,35.54,12.75,1
2026-03-30 17:53:59.056037,205,77.71,8.31,55.25,13.99,0
